E,U,u,b_p,b_q,a_p,a_q
1773391918705,2497656696,2497656697,[],[],[2.027 2.028],[1893.9  1090.04]
1773391918805,2497656698,2497656698,[],[],[2.024],[1144.24]
1773391919306,2497656699,2497656699,[],[],[2.028],[1721.94]
1773391919405,2497656700,2497656700,[],[],[2.028],[1090.04]
1773391919906,2497656701,2497656701,[],[],[2.023],[7.44]
1773391920505,2497656702,2497656705,[2.017 2.016],[1987.05 2528.42],[2.026 2.027],[1288.55 1784.7 ]
1773391920605,2497656706,2497656706,[],[],[2.028],[1199.21]
1773391920905,2497656707,2497656707,[],[],[2.024],[1124.4]
1773391921005,2497656708,2497656709,[],[],[2.023 2.024],[  12.14 1204.1 ]
1773391921605,2497656710,2497656715,[2.022 2.02 ],[285.17 896.98],[2.023 2.024],[ 124.64 1256.38]
1773391921705,2497656716,2497656718,[2.021],[1035.64],[2.023],[127.36]
1773391921905,2497656719,2497656721,[2.022],[112.5],[2.023],[373.15]
1773391922005,2497656722,2497656738,[2.022 2.021 2.02 ],[   0.    522.53 1146.49],[2.023 2.027 2.031 2.032 2.042 2.043],[ 1120.61  1809.1  19675.35   799.9  22863.05  2569.18]
1773391922105,2497656739,2497656739,[],[],[2.027],[2088.7]
1773391922205,2497656740,2497656749,[2.022 2.021 2.02 ],[ 112.5   618.26 1054.47],[2.023 2.024 2.031 2.042],[  948.26  1141.26  8438.12 10322.35]
1773391922305,2497656750,2497656758,[2.022 2.021 2.02 ],[   0.    522.53 1164.63],[2.023 2.025],[1201.38 1376.25]
1773391922405,2497656759,2497656771,[2.021 2.013 2.012 2.003 2.002 1.984 1.983],"[3.959200e+02 1.191091e+04 1.734210e+04 7.194600e+02 1.296812e+04
 3.000000e+00 2.405051e+04]",[2.022 2.023 2.024],[  24.83 1166.89  914.54]
1773391922506,2497656772,2497656787,[2.021 2.012 2.002 1.983],[ 550.47 5929.71  317.2   115.5 ],[2.022 2.023 2.024 2.025 2.026 2.027],[   0.   1074.87 1137.76 1352.41 1490.62 2640.4 ]
1773391922605,2497656788,2497656788,[],[],[2.023],[1184.15]
1773391923105,2497656789,2497656790,[],[],[2.031 2.042],[19686.92 22801.86]
1773391923505,2497656791,2497656794,[2.013 2.003 1.984],[23220.82 13338.44 24053.21],[2.027],[2664.8]
1773391923605,2497656795,2497656795,[],[],[2.025],[1377.62]
1773391923905,2497656796,2497656822,"[2.021 2.02  2.019 2.017 2.016 2.013 2.012 2.01  2.009 2.007 2.006 2.005
 2.003 1.984]","[3.118300e+02 9.890000e+02 1.439620e+03 1.358930e+03 7.826500e+02
 8.451740e+03 7.652300e+02 4.476310e+03 1.919010e+03 5.422590e+03
 3.916326e+04 2.236084e+04 7.194600e+02 3.000000e+00]",[2.022 2.023 2.024 2.03  2.045],[ 188.   1276.17  914.54  972.9   199.61]
1773391924005,2497656823,2497656824,[2.018],[1065.1],[2.022],[212.83]
1773391924105,2497656825,2497656827,[],[],[2.022 2.026 2.027],[ 188.   1288.55 1809.1 ]
1773391924405,2497656828,2497656829,[],[],[2.025 2.03 ],[1352.41  795.58]
1773391924605,2497656830,2497656835,[2.012 2.002 1.983],[12146.97 12984.09 24056.03],[2.023 2.024 2.025],[1296.17 1107.45 1332.41]
1773391924705,2497656836,2497656838,[2.021 2.018],[ 309.11 1166.98],[2.027],[1784.7]
1773391924805,2497656839,2497656839,[2.02],[991.72],[],[]
1773391925305,2497656840,2497656841,[2.017 2.015],[1325.93 9018.92],[],[]
1773391926505,2497656842,2497656842,[],[],[2.023],[1291.47]
1773391927206,2497656843,2497656844,[],[],[2.023 2.024],[1271.47 1127.45]
1773391927605,2497656845,2497656845,[],[],[2.022],[192.7]
1773391927905,2497656846,2497656853,[2.021 2.02  2.019],[   6.71  797.89 1459.62],[2.022],[550.98]
